GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Codec,org.apache.commons.lang3,LocaleUtils,467,0,88,0,94,0,58,0,14,0
Apache Commons Codec,org.apache.commons.lang3,EnumUtils,398,0,36,0,70,0,33,0,15,0
Apache Commons Codec,org.apache.commons.lang3,StringEscapeUtils.CsvEscaper,69,0,4,0,11,0,5,0,3,0
Apache Commons Codec,org.apache.commons.lang3,SerializationUtils.ClassLoaderAwareObjectInputStream,85,0,2,0,23,0,4,0,3,0
Apache Commons Codec,org.apache.commons.lang3,ClassUtils.2.new Iterator() {...},98,0,10,0,18,0,10,0,5,0
Apache Commons Codec,org.apache.commons.lang3,Conversion,2844,0,460,0,461,0,304,0,44,0
Apache Commons Codec,org.apache.commons.lang3,AnnotationUtils.new ToStringStyle() {...},83,0,8,0,25,0,7,0,3,0
Apache Commons Codec,org.apache.commons.lang3,ArchUtils,230,0,4,0,38,0,15,0,13,0
Apache Commons Codec,org.apache.commons.lang3,ThreadUtils.NamePredicate,39,0,10,0,6,0,8,0,3,0
Apache Commons Codec,org.apache.commons.lang3,CharUtils,345,0,54,0,51,0,52,0,25,0
Apache Commons Codec,org.apache.commons.lang3,AnnotationUtils,529,0,92,0,112,0,57,0,11,0
Apache Commons Codec,org.apache.commons.lang3,CharRange.CharacterIterator,130,0,18,0,30,0,14,0,5,0
Apache Commons Codec,org.apache.commons.lang3,NotImplementedException,42,0,0,0,16,0,7,0,7,0
Apache Commons Codec,org.apache.commons.lang3,ArrayUtils.new Comparator() {...},7,0,0,0,2,0,2,0,2,0
Apache Commons Codec,org.apache.commons.lang3,BooleanUtils,800,0,254,0,190,0,170,0,41,0
Apache Commons Codec,org.apache.commons.lang3,ObjectUtils,720,0,88,0,164,0,81,0,37,0
Apache Commons Codec,org.apache.commons.lang3,ThreadUtils.AlwaysTruePredicate,4,0,0,0,2,0,2,0,2,0
Apache Commons Codec,org.apache.commons.lang3,ThreadUtils.ThreadIdPredicate,27,0,6,0,6,0,5,0,2,0
Apache Commons Codec,org.apache.commons.lang3,RegExUtils,98,0,30,0,21,0,26,0,11,0
Apache Commons Codec,org.apache.commons.lang3,StringUtils,6961,0,1517,0,1696,0,993,0,234,0
Apache Commons Codec,org.apache.commons.lang3,SerializationUtils,134,0,8,0,33,0,11,0,7,0
Apache Commons Codec,org.apache.commons.lang3,CharSet,305,0,34,0,59,0,26,0,9,0
Apache Commons Codec,org.apache.commons.lang3,RandomStringUtils,324,0,58,0,65,0,50,0,21,0
Apache Commons Codec,org.apache.commons.lang3,Range,424,0,76,0,82,0,62,0,24,0
Apache Commons Codec,org.apache.commons.lang3,RandomUtils,185,0,26,0,32,0,25,0,12,0
Apache Commons Codec,org.apache.commons.lang3,BitField,139,0,12,0,21,0,24,0,18,0
Apache Commons Codec,org.apache.commons.lang3,CharRange,243,0,50,0,43,0,39,0,14,0
Apache Commons Codec,org.apache.commons.lang3,LocaleUtils.SyncAvoid,19,0,0,0,5,0,2,0,2,0
Apache Commons Codec,org.apache.commons.lang3,ClassUtils,1426,0,258,0,349,0,183,0,54,0
Apache Commons Codec,org.apache.commons.lang3,JavaVersion,374,0,40,0,69,0,28,0,8,0
Apache Commons Codec,org.apache.commons.lang3,Validate,817,0,124,0,150,0,113,0,51,0
Apache Commons Codec,org.apache.commons.lang3,ArrayUtils,8407,0,1554,0,2058,0,1098,0,321,0
Apache Commons Codec,org.apache.commons.lang3,ClassUtils.Interfaces,24,0,0,0,2,0,1,0,1,0
Apache Commons Codec,org.apache.commons.lang3,CharEncoding,13,0,2,0,6,0,3,0,2,0
Apache Commons Codec,org.apache.commons.lang3,Range.ComparableComparator,19,0,0,0,3,0,2,0,2,0
Apache Commons Codec,org.apache.commons.lang3,StringEscapeUtils.CsvUnescaper,93,0,8,0,13,0,7,0,3,0
