GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Math,org.apache.commons.math.stat.clustering,KMeansPlusPlusClusterer,45,616,14,78,8,158,12,45,0,10
Commons Math,org.apache.commons.math.stat.clustering,Cluster,0,23,0,0,0,8,0,4,0,4
Commons Math,org.apache.commons.math.stat.clustering,KMeansPlusPlusClusterer.EmptyClusterStrategy,0,44,0,0,0,5,0,1,0,1
Commons Math,org.apache.commons.math.stat.clustering,EuclideanIntegerPoint,74,104,8,12,14,20,7,10,2,5
Commons Math,org.apache.commons.math,MathRuntimeException.new ArrayIndexOutOfBoundsException() {...},23,0,0,0,3,0,3,0,3,0
Commons Math,org.apache.commons.math,MathRuntimeException.new ArithmeticException() {...},23,0,0,0,3,0,3,0,3,0
Commons Math,org.apache.commons.math,MathRuntimeException.new ConcurrentModificationException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException.new IllegalStateException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException.new IllegalArgumentException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException.new EOFException() {...},23,0,0,0,3,0,3,0,3,0
Commons Math,org.apache.commons.math,MathRuntimeException.new RuntimeException() {...},24,0,0,0,3,0,3,0,3,0
Commons Math,org.apache.commons.math,MathRuntimeException.new ParseException() {...},25,0,0,0,3,0,3,0,3,0
Commons Math,org.apache.commons.math,MathRuntimeException.new NoSuchElementException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException,183,24,8,0,42,4,24,4,20,4
Commons Math,org.apache.commons.math,MathException,47,88,5,3,11,22,10,7,6,7
Commons Math,org.apache.commons.math.analysis.integration,SimpsonIntegrator,34,92,5,7,7,22,5,5,1,3
Commons Math,org.apache.commons.math.analysis.integration,LegendreGaussIntegrator,30,449,1,12,4,68,2,12,1,5
Commons Math,org.apache.commons.math.analysis.integration,UnivariateRealIntegratorImpl,20,111,1,3,5,33,4,10,3,9
Commons Math,org.apache.commons.math.analysis.integration,TrapezoidIntegrator,20,157,4,10,6,33,4,8,1,4
Commons Math,org.apache.commons.math.analysis.integration,RombergIntegrator,20,145,4,8,6,31,4,6,1,3
Commons Math,org.apache.commons.math.geometry.euclidean.threed,PolyhedronsSet.RotationTransform,0,124,0,2,0,23,0,5,0,4
Commons Math,org.apache.commons.math.geometry.euclidean.threed,PolyhedronsSet.TranslationTransform,0,59,0,2,0,15,0,5,0,4
Commons Math,org.apache.commons.math.geometry.euclidean.threed,NotARotationMatrixException,0,5,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math.geometry.euclidean.threed,OutlineExtractor.BoundaryProjector,317,0,34,0,62,0,23,0,6,0
Commons Math,org.apache.commons.math.geometry.euclidean.threed,OutlineExtractor,190,0,14,0,34,0,10,0,3,0
Commons Math,org.apache.commons.math.geometry.euclidean.threed,PolyhedronsSet.FacetsContributionVisitor,17,86,4,4,4,22,4,5,0,5
Commons Math,org.apache.commons.math.geometry.euclidean.threed,SubLine,0,141,0,12,0,25,0,12,0,6
Commons Math,org.apache.commons.math.geometry.euclidean.threed,PolyhedronsSet,147,152,27,1,42,15,18,7,4,7
Commons Math,org.apache.commons.math.geometry.euclidean.threed,CardanEulerSingularityException,0,10,0,2,0,2,0,2,0,1
Commons Math,org.apache.commons.math.geometry.euclidean.threed,Vector3DFormat,18,90,1,3,5,18,3,8,2,7
Commons Math,org.apache.commons.math.geometry.euclidean.threed,Line,35,231,4,12,8,36,7,18,3,14
Commons Math,org.apache.commons.math.geometry.euclidean.threed,Euclidean3D,8,0,0,0,4,0,4,0,4,0
Commons Math,org.apache.commons.math.geometry.euclidean.threed,RotationOrder,0,124,0,0,0,22,0,6,0,6
Commons Math,org.apache.commons.math.geometry.euclidean.threed,Rotation,0,3181,6,116,0,385,6,79,0,24
Commons Math,org.apache.commons.math.geometry.euclidean.threed,SubPlane,0,237,2,16,0,48,2,11,0,4
Commons Math,org.apache.commons.math.geometry.euclidean.threed,Plane,82,534,3,19,19,85,7,33,4,25
Commons Math,org.apache.commons.math.geometry.euclidean.threed,Segment,0,21,0,0,0,8,0,4,0,4
Commons Math,org.apache.commons.math.geometry.euclidean.threed,Vector3D,62,928,17,33,10,131,18,54,6,41
Commons Math,org.apache.commons.math.geometry.euclidean.threed,Euclidean3D.LazyHolder,6,0,0,0,1,0,1,0,1,0
Commons Math,org.apache.commons.math.optimization.fitting,HarmonicFitter,0,20,0,0,0,4,0,3,0,3
Commons Math,org.apache.commons.math.optimization.fitting,GaussianFitter.ParameterGuesser,21,332,7,31,5,53,7,20,0,8
Commons Math,org.apache.commons.math.optimization.fitting,WeightedObservedPoint,0,21,0,0,0,8,0,4,0,4
Commons Math,org.apache.commons.math.optimization.fitting,CurveFitter.TheoreticalValuesFunction,0,47,0,2,0,10,0,4,0,3
Commons Math,org.apache.commons.math.optimization.fitting,PolynomialFitter,0,18,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math.optimization.fitting,GaussianFitter.new ParametricUnivariateFunction() {...},1,47,0,0,1,11,0,3,0,3
Commons Math,org.apache.commons.math.optimization.fitting,CurveFitter,6,98,0,2,2,23,1,8,1,7
Commons Math,org.apache.commons.math.optimization.fitting,GaussianFitter.ParameterGuesser.new Comparator() {...},44,26,15,5,13,7,10,2,0,2
Commons Math,org.apache.commons.math.optimization.fitting,CurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,42,0,2,0,7,0,3,0,2
Commons Math,org.apache.commons.math.optimization.fitting,HarmonicFitter.ParameterGuesser,4,453,2,26,1,89,2,17,0,5
Commons Math,org.apache.commons.math.optimization.fitting,GaussianFitter,0,25,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math.stat,Frequency.NaturalComparator,0,4,0,0,0,1,0,1,0,1
Commons Math,org.apache.commons.math.stat,StatUtils,20,343,1,15,3,65,3,36,2,29
Commons Math,org.apache.commons.math.stat,Frequency,32,419,9,35,11,109,8,43,1,28
Commons Math,org.apache.commons.math.optimization.linear,SimplexSolver,0,282,0,38,0,65,0,26,0,7
Commons Math,org.apache.commons.math.optimization.linear,UnboundedSolutionException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math.optimization.linear,LinearObjectiveFunction,22,73,4,4,4,19,6,8,2,8
Commons Math,org.apache.commons.math.optimization.linear,AbstractLinearOptimizer,13,39,1,1,3,13,3,4,2,4
Commons Math,org.apache.commons.math.optimization.linear,Relationship,3,56,0,3,1,11,1,5,1,3
Commons Math,org.apache.commons.math.optimization.linear,SimplexTableau,49,982,11,113,10,175,14,80,3,29
Commons Math,org.apache.commons.math.optimization.linear,NoFeasibleSolutionException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math.optimization.linear,LinearConstraint,74,73,7,5,18,21,9,8,3,8
Commons Math,org.apache.commons.math.exception.util,DummyLocalizable,3,12,0,0,1,5,1,3,1,3
Commons Math,org.apache.commons.math.exception.util,ArgUtils,0,55,1,7,0,8,1,4,0,1
Commons Math,org.apache.commons.math.exception.util,LocalizedFormats,4,3387,1,1,2,315,2,3,1,3
