GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Joda time,org.joda.time,MonthDay,18,470,4,27,3,108,4,57,0,45
Joda time,org.joda.time,DateTimeUtils,15,197,2,38,4,74,2,37,0,19
Joda time,org.joda.time,MonthDay.Property,0,117,0,0,0,21,0,10,0,10
Joda time,org.joda.time,MutablePeriod,18,495,0,8,6,149,2,74,2,70
Joda time,org.joda.time,DateTimeComparator,9,257,6,40,0,53,4,33,0,14
Joda time,org.joda.time,Weeks,0,280,1,34,0,68,1,46,0,27
Joda time,org.joda.time,DurationField,0,33,0,4,0,7,0,5,0,3
Joda time,org.joda.time,Days,0,308,1,38,0,76,1,50,0,27
Joda time,org.joda.time,LocalTime,40,1006,8,92,7,215,8,115,1,69
Joda time,org.joda.time,TimeOfDay,0,575,1,22,0,131,1,67,0,55
Joda time,org.joda.time,Duration,0,218,0,24,0,57,0,39,0,27
Joda time,org.joda.time,PeriodType,0,1642,3,101,0,248,3,89,0,40
Joda time,org.joda.time,Instant,0,129,1,9,0,32,1,24,0,20
Joda time,org.joda.time,LocalDate.Property,77,83,0,0,12,15,7,12,7,12
Joda time,org.joda.time,DurationFieldType.StandardDurationFieldType,4,103,2,30,1,37,2,30,0,5
Joda time,org.joda.time,DateTimeUtils.OffsetMillisProvider,0,11,0,0,0,4,0,2,0,2
Joda time,org.joda.time,DateTimeFieldType.StandardDateTimeFieldType,10,164,3,51,1,63,2,54,0,7
Joda time,org.joda.time,YearMonthDay.Property,0,127,0,0,0,23,0,12,0,12
Joda time,org.joda.time,LocalTime.Property,38,163,0,2,8,25,3,19,3,18
Joda time,org.joda.time,LocalDateTime,83,1472,14,100,14,299,15,161,4,112
Joda time,org.joda.time,Seconds,0,280,1,34,0,68,1,46,0,27
Joda time,org.joda.time,DateTime.Property,0,171,0,0,0,28,0,20,0,20
Joda time,org.joda.time,DateTime,6,1140,1,71,1,224,2,139,1,104
Joda time,org.joda.time,Minutes,0,280,1,34,0,68,1,46,0,27
Joda time,org.joda.time,DateTimeFieldType,0,248,0,0,0,75,0,28,0,28
Joda time,org.joda.time,DateTimeUtils.FixedMillisProvider,0,9,0,0,0,4,0,2,0,2
Joda time,org.joda.time,Partial,0,1065,3,103,0,230,3,83,0,33
Joda time,org.joda.time,DateTimeUtils.SystemMillisProvider,0,5,0,0,0,2,0,2,0,2
Joda time,org.joda.time,LocalDateTime.Property,38,133,0,0,8,20,3,17,3,17
