GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlBeanSerializer,58,46,7,3,12,13,10,6,6,5
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlBeanSerializerModifier,0,103,1,13,0,24,1,9,0,3
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlSerializerProvider,93,222,16,32,22,74,14,24,1,13
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlBeanSerializerBase,207,525,35,75,43,138,30,38,2,11
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,XmlBeanPropertyWriter,34,111,12,18,9,32,8,11,0,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,UnwrappingXmlBeanSerializer,80,22,2,2,18,8,11,3,9,3
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,ToXmlGenerator.Feature,5,78,1,5,1,14,1,8,0,6
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.ser,ToXmlGenerator,992,948,126,112,251,263,115,70,27,39
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,TypeUtil,3,40,3,13,1,10,4,7,1,2
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,DefaultXmlPrettyPrinter.NopIndenter,7,0,0,0,4,0,4,0,4,0
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,XmlInfo,0,46,0,8,0,10,0,9,0,5
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,DefaultXmlPrettyPrinter.FixedSpaceIndenter,10,3,0,0,5,1,3,1,3,1
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,DefaultXmlPrettyPrinter.Lf2SpacesIndenter,25,54,3,3,4,19,3,5,0,5
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,XmlRootNameLookup,4,152,3,19,2,39,3,14,0,6
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,DefaultXmlPrettyPrinter,214,259,30,16,65,71,36,17,16,14
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,AnnotationUtil,7,139,2,34,3,38,3,20,1,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.util,StaxUtil,48,130,14,26,9,31,17,10,3,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,FromXmlParser.Feature,0,72,1,5,0,14,1,8,0,6
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,ElementWrapper,42,67,6,10,11,15,6,12,2,8
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlTokenStream,187,585,23,78,25,156,26,55,6,21
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,WrapperHandlingDeserializer,45,106,3,15,8,34,6,12,3,6
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlStringDeserializer,43,30,9,5,10,10,8,4,2,3
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlBeanDeserializerModifier,1,172,5,33,1,50,5,18,0,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,FromXmlParser,492,676,64,85,129,187,73,58,23,25
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlTextDeserializer,45,70,3,3,8,18,5,6,3,5
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.deser,XmlReadContext,114,104,10,2,27,35,12,13,6,12
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml.jaxb,XmlJaxbAnnotationIntrospector,3,19,0,0,2,7,1,6,1,6
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlTypeResolverBuilder,10,123,8,11,2,29,8,8,0,6
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlTypeResolverBuilder.XmlMinimalClassNameIdResolver,16,0,0,0,4,0,3,0,3,0
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,PackageVersion,5,6,0,0,2,1,2,1,2,1
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlMapper,52,163,1,5,12,42,8,19,7,17
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlFactory,275,638,49,55,84,160,55,51,15,39
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlAnnotationIntrospector.Pair,130,28,33,3,26,8,23,2,5,2
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlAnnotationIntrospector.JaxbWrapper,24,0,0,0,8,0,6,0,6,0
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,JacksonXmlModule,12,59,1,1,4,16,2,4,1,4
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,JacksonXmlAnnotationIntrospector,11,188,6,38,3,58,6,29,1,12
Jackson-dataformat-XML,com.fasterxml.jackson.dataformat.xml,XmlTypeResolverBuilder.XmlClassNameIdResolver,0,16,0,0,0,4,0,3,0,3
